method,sample_percent,fold,seed,benchmark,score,sampled_ids
random,0.05,0,42,aime24,accuracy,[20]
random,0.05,0,42,aime24,answer_length,[20]
random,0.05,1,43,aime24,accuracy,[1]
random,0.05,1,43,aime24,answer_length,[1]
random,0.05,2,44,aime24,accuracy,[13]
random,0.05,2,44,aime24,answer_length,[13]
random,0.05,3,45,aime24,accuracy,[8]
random,0.05,3,45,aime24,answer_length,[8]
random,0.16,0,42,aime24,accuracy,"[20, 3, 0, 23]"
random,0.16,0,42,aime24,answer_length,"[20, 3, 0, 23]"
random,0.16,1,43,aime24,accuracy,"[1, 9, 22, 24]"
random,0.16,1,43,aime24,answer_length,"[1, 9, 22, 24]"
random,0.16,2,44,aime24,accuracy,"[13, 16, 17, 22]"
random,0.16,2,44,aime24,answer_length,"[13, 16, 17, 22]"
random,0.16,3,45,aime24,accuracy,"[8, 13, 15, 2]"
random,0.16,3,45,aime24,answer_length,"[8, 13, 15, 2]"
random,0.26,0,42,aime24,accuracy,"[20, 3, 0, 23, 8, 7, 24]"
random,0.26,0,42,aime24,answer_length,"[20, 3, 0, 23, 8, 7, 24]"
random,0.26,1,43,aime24,accuracy,"[1, 9, 22, 24, 4, 14, 11]"
random,0.26,1,43,aime24,answer_length,"[1, 9, 22, 24, 4, 14, 11]"
random,0.26,2,44,aime24,accuracy,"[13, 16, 17, 22, 3, 5, 12]"
random,0.26,2,44,aime24,answer_length,"[13, 16, 17, 22, 3, 5, 12]"
random,0.26,3,45,aime24,accuracy,"[8, 13, 15, 29, 2, 9, 10]"
random,0.26,3,45,aime24,answer_length,"[8, 13, 15, 29, 2, 9, 10]"
random,0.37,0,42,aime24,accuracy,"[20, 3, 0, 23, 8, 7, 24, 4, 28, 17, 2]"
random,0.37,0,42,aime24,answer_length,"[20, 3, 0, 23, 8, 7, 24, 4, 28, 17, 2]"
random,0.37,1,43,aime24,accuracy,"[1, 9, 22, 24, 4, 14, 11, 21, 3, 26, 19]"
random,0.37,1,43,aime24,answer_length,"[1, 9, 22, 24, 4, 14, 11, 21, 3, 26, 19]"
random,0.37,2,44,aime24,accuracy,"[13, 16, 17, 22, 3, 5, 12, 7, 9, 0, 26]"
random,0.37,2,44,aime24,answer_length,"[13, 16, 17, 22, 3, 5, 12, 7, 9, 0, 26]"
random,0.37,3,45,aime24,accuracy,"[8, 13, 15, 29, 2, 9, 10, 0, 25, 27, 22]"
random,0.37,3,45,aime24,answer_length,"[8, 13, 15, 29, 2, 9, 10, 0, 25, 27, 22]"
